MSZoning,LotArea,OverallCond,YearBuilt,BedroomAbvGr,KitchenQual,GarageCars,PoolQC,SalePrice,N_Bath
Comercial,5000-10000,6,1905-1909,4,Regular,2,Regular,133900,2
Residencial Baja Densidad,5000-10000,4,1945-1949,3,Regular,1,Regular,138000,2
Residencial Densidad Media,5000-10000,6,1935-1939,2,Bueno,1,Bueno,125500,2
Residencial Densidad Media,5000-10000,5,1975-1979,2,Regular,2,Regular,140000,1
Residencial Baja Densidad,5000-10000,7,1945-1949,3,Regular,1,Regular,119000,1
Residencial Baja Densidad,5000-10000,8,1970-1974,2,Regular,1,Regular,133900,1
Residencial Baja Densidad,5000-10000,5,1945-1949,2,Regular,2,Regular,109900,1
Residencial Densidad Media,5000-10000,7,1915-1919,4,Bueno,2,Bueno,157000,2
Residencial Baja Densidad,5000-10000,8,1945-1949,3,Bueno,2,Bueno,129000,1
Residencial Baja Densidad,5000-10000,5,1945-1949,3,Regular,2,Regular,98300,1
Residencial Baja Densidad,5000-10000,6,1975-1979,3,Regular,1,Regular,125000,1
Residencial Baja Densidad,5000-10000,7,1955-1959,2,Regular,0,Regular,116500,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,183000,3
Residencial Baja Densidad,5000-10000,6,1950-1954,2,Bueno,2,Bueno,105500,1
Residencial Baja Densidad,5000-10000,7,1965-1969,2,Regular,2,Regular,129500,1
Residencial Baja Densidad,5000-10000,5,1980-1984,2,Regular,2,Regular,134900,1
Residencial Baja Densidad,5000-10000,8,1940-1944,3,Bueno,1,Bueno,259500,3
Residencial Baja Densidad,5000-10000,7,1920-1924,3,Excelente,2,Excelente,205000,3
Residencial Baja Densidad,5000-10000,5,2000-2004,4,Bueno,2,Bueno,198500,3
Residencial Baja Densidad,5000-10000,5,2000-2004,2,Excelente,2,Excelente,277500,2
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,194500,2
Residencial Baja Densidad,5000-10000,6,1955-1959,2,Bueno,1,Bueno,120000,1
Residencial Baja Densidad,5000-10000,6,1970-1974,2,Regular,1,Regular,110000,1
Residencial Baja Densidad,5000-10000,7,1950-1954,2,Regular,2,Regular,139000,1
Residencial Baja Densidad,5000-10000,6,1955-1959,3,Bueno,2,Bueno,150750,1
Residencial Baja Densidad,5000-10000,7,1950-1954,3,Regular,1,Regular,135000,1
Residencial Pueblo Flotante,5000-10000,5,1995-1999,3,Bueno,2,Bueno,239000,3
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,194000,2
Residencial Densidad Media,5000-10000,7,1955-1959,2,Regular,2,Regular,149700,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Regular,2,Regular,193000,3
Residencial Baja Densidad,5000-10000,6,1935-1939,2,Regular,1,Regular,118000,1
Residencial Baja Densidad,5000-10000,5,1960-1964,3,Regular,2,Regular,132000,1
Residencial Baja Densidad,5000-10000,8,1905-1909,3,Regular,2,Regular,127000,1
Residencial Baja Densidad,5000-10000,5,1940-1944,2,Regular,0,Regular,100000,1
Residencial Densidad Media,5000-10000,7,1925-1929,3,Bueno,1,Bueno,139400,1
Residencial Baja Densidad,5000-10000,9,1970-1974,4,Bueno,2,Bueno,184000,2
Residencial Pueblo Flotante,5000-10000,5,2000-2004,3,Bueno,2,Bueno,176000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,0,Bueno,141000,1
Residencial Baja Densidad,5000-10000,7,1940-1944,3,Bueno,1,Bueno,177500,1
Comercial,5000-10000,4,1915-1919,2,Regular,2,Regular,68400,1
Residencial Pueblo Flotante,5000-10000,5,1995-1999,3,Bueno,2,Bueno,216000,3
Residencial Pueblo Flotante,5000-10000,5,2000-2004,2,Bueno,2,Bueno,185000,2
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Bueno,2,Bueno,189000,3
Residencial Baja Densidad,5000-10000,5,1960-1964,3,Regular,1,Regular,133000,2
Residencial Baja Densidad,5000-10000,7,1955-1959,3,Bueno,1,Bueno,154000,2
Residencial Baja Densidad,5000-10000,7,1955-1959,2,Regular,1,Regular,120000,1
Residencial Baja Densidad,5000-10000,6,1975-1979,2,Regular,2,Regular,156000,1
Residencial Baja Densidad,5000-10000,6,1925-1929,3,Regular,2,Regular,177000,2
Residencial Baja Densidad,5000-10000,6,1955-1959,3,Regular,1,Regular,139000,1
Residencial Baja Densidad,5000-10000,5,1955-1959,3,Regular,1,Regular,133700,1
Residencial Baja Densidad,5000-10000,5,2000-2004,2,Bueno,2,Bueno,194700,2
Residencial Baja Densidad,5000-10000,3,1945-1949,4,Regular,1,Regular,91500,1
Residencial Baja Densidad,5000-10000,6,1915-1919,4,Regular,1,Regular,200100,2
Residencial Baja Densidad,5000-10000,5,1960-1964,4,Regular,1,Regular,169500,2
Residencial Baja Densidad,5000-10000,5,1965-1969,3,Regular,2,Regular,155000,2
Residencial Densidad Media,5000-10000,5,1950-1954,4,Regular,2,Regular,124500,2
Residencial Baja Densidad,5000-10000,6,1980-1984,2,Regular,2,Regular,129500,1
Residencial Densidad Media,5000-10000,9,1895-1899,4,Bueno,2,Bueno,140000,2
Residencial Baja Densidad,5000-10000,8,1915-1919,3,Bueno,1,Bueno,189950,2
Residencial Baja Densidad,5000-10000,5,2000-2004,2,Excelente,2,Excelente,319900,2
Residencial Baja Densidad,5000-10000,5,1950-1954,2,Regular,1,Regular,110000,1
Residencial Baja Densidad,5000-10000,6,1920-1924,3,Regular,1,Regular,154900,2
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Bueno,2,Bueno,165600,3
Residencial Baja Densidad,5000-10000,5,1970-1974,3,Regular,2,Regular,112500,1
Residencial Baja Densidad,5000-10000,5,1965-1969,4,Regular,2,Regular,155000,2
Residencial Baja Densidad,5000-10000,3,1975-1979,4,Regular,0,Regular,150000,2
Residencial Baja Densidad,5000-10000,6,1960-1964,3,Regular,2,Regular,132500,1
Residencial Densidad Media,5000-10000,7,1905-1909,3,Regular,2,Regular,125500,1
Residencial Baja Densidad,5000-10000,7,1965-1969,3,Regular,1,Regular,127000,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,184100,3
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,162000,3
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Regular,2,Regular,180000,3
Residencial Densidad Media,5000-10000,4,1930-1934,4,Regular,1,Regular,169500,2
Residencial Baja Densidad,5000-10000,7,1960-1964,3,Bueno,1,Bueno,132500,1
Residencial Baja Densidad,5000-10000,7,1960-1964,3,Regular,2,Regular,140000,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,188500,3
Residencial Baja Densidad,5000-10000,6,1950-1954,2,Regular,1,Regular,132000,1
Residencial Densidad Media,5000-10000,7,1935-1939,3,Regular,2,Regular,119900,1
Residencial Baja Densidad,5000-10000,5,1960-1964,2,Regular,1,Regular,115000,1
Residencial Baja Densidad,5000-10000,8,1945-1949,3,Excelente,1,Excelente,225000,3
Residencial Baja Densidad,5000-10000,7,1965-1969,3,Bueno,1,Bueno,130000,1
Residencial Alta Densidad,5000-10000,5,1960-1964,3,Regular,1,Regular,119900,1
Residencial Baja Densidad,5000-10000,3,1925-1929,4,Bueno,2,Bueno,135000,2
Residencial Baja Densidad,5000-10000,5,1975-1979,3,Regular,2,Regular,107000,1
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Excelente,2,Excelente,318061,2
Residencial Baja Densidad,5000-10000,7,1990-1994,3,Regular,2,Regular,178000,3
Residencial Baja Densidad,5000-10000,5,1965-1969,3,Regular,1,Regular,123000,1
Residencial Baja Densidad,5000-10000,7,1975-1979,3,Regular,2,Regular,149500,2
Residencial Baja Densidad,5000-10000,5,2000-2004,4,Bueno,2,Bueno,216500,3
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,183200,3
Residencial Pueblo Flotante,5000-10000,5,2005-2009,2,Bueno,2,Bueno,208300,2
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Regular,2,Regular,176000,2
Residencial Baja Densidad,5000-10000,6,1960-1964,3,Regular,2,Regular,139950,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,180000,3
Comercial,5000-10000,5,1915-1919,2,Regular,0,Regular,34900,1
Residencial Baja Densidad,5000-10000,5,1990-1994,2,Bueno,2,Bueno,153900,2
Residencial Baja Densidad,5000-10000,5,1975-1979,2,Regular,1,Regular,99500,2
Residencial Baja Densidad,5000-10000,5,1955-1959,4,Regular,1,Regular,127000,2
Residencial Baja Densidad,5000-10000,7,1975-1979,3,Regular,1,Regular,148000,2
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Regular,2,Regular,175000,3
Residencial Densidad Media,5000-10000,7,1915-1919,3,Malo,0,Malo,89500,1
Residencial Baja Densidad,5000-10000,7,1950-1954,3,Bueno,1,Bueno,109000,1
Residencial Baja Densidad,5000-10000,8,1965-1969,3,Bueno,2,Bueno,156000,1
Residencial Baja Densidad,5000-10000,6,1955-1959,3,Regular,1,Regular,155000,2
Residencial Baja Densidad,5000-10000,5,1955-1959,3,Regular,1,Regular,132500,1
Residencial Baja Densidad,5000-10000,6,1980-1984,3,Regular,2,Regular,142500,1
Residencial Baja Densidad,5000-10000,5,1960-1964,3,Regular,1,Regular,118500,1
Residencial Baja Densidad,5000-10000,6,1955-1959,3,Regular,1,Regular,141000,1
Residencial Baja Densidad,5000-10000,6,1975-1979,3,Regular,2,Regular,159500,2
Residencial Baja Densidad,5000-10000,6,1970-1974,3,Regular,1,Regular,110000,1
Residencial Baja Densidad,5000-10000,4,1960-1964,6,Regular,0,Regular,141000,2
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Regular,2,Regular,188000,3
Residencial Baja Densidad,5000-10000,6,1945-1949,2,Regular,1,Regular,132000,1
Residencial Pueblo Flotante,5000-10000,5,2005-2009,3,Regular,2,Regular,263435,3
Residencial Baja Densidad,5000-10000,5,1990-1994,2,Bueno,2,Bueno,193000,2
Residencial Baja Densidad,5000-10000,5,1975-1979,2,Regular,1,Regular,143000,2
Residencial Baja Densidad,5000-10000,5,1990-1994,2,Bueno,2,Bueno,179200,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,176000,3
Residencial Baja Densidad,5000-10000,5,1985-1989,2,Regular,2,Regular,180000,2
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Regular,2,Regular,181000,3
Residencial Baja Densidad,5000-10000,7,1945-1949,3,Regular,2,Regular,122900,1
Residencial Baja Densidad,5000-10000,5,2000-2004,4,Bueno,2,Bueno,200000,3
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Regular,0,Regular,123600,1
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Regular,2,Regular,138000,1
Residencial Baja Densidad,5000-10000,6,2005-2009,2,Bueno,2,Bueno,392000,2
Residencial Densidad Media,5000-10000,5,1895-1899,2,Regular,2,Regular,106000,2
Residencial Densidad Media,5000-10000,6,1945-1949,2,Regular,2,Regular,153500,1
Residencial Baja Densidad,5000-10000,7,1965-1969,3,Regular,2,Regular,124500,1
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Regular,2,Regular,172400,3
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Regular,2,Regular,179000,3
Residencial Pueblo Flotante,5000-10000,5,2000-2004,3,Bueno,2,Bueno,186500,3
Residencial Baja Densidad,5000-10000,4,1970-1974,3,Regular,0,Regular,88000,1
Residencial Pueblo Flotante,5000-10000,5,2005-2009,2,Bueno,2,Bueno,241000,2
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Regular,2,Regular,174000,3
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Bueno,2,Bueno,193500,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,3,Bueno,230000,2
Residencial Pueblo Flotante,5000-10000,5,2005-2009,3,Bueno,2,Bueno,197000,3
Residencial Pueblo Flotante,5000-10000,6,2005-2009,3,Bueno,2,Bueno,205950,3
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,224900,3
Residencial Baja Densidad,5000-10000,6,1935-1939,3,Regular,1,Regular,126000,2
Residencial Baja Densidad,5000-10000,6,1955-1959,3,Regular,1,Regular,143000,1
Residencial Baja Densidad,5000-10000,7,1950-1954,2,Regular,2,Regular,115000,1
Residencial Baja Densidad,5000-10000,6,1950-1954,4,Regular,1,Regular,135000,2
Residencial Baja Densidad,5000-10000,6,1955-1959,3,Regular,1,Regular,139000,1
Residencial Baja Densidad,5000-10000,6,1950-1954,3,Regular,1,Regular,119000,1
Residencial Baja Densidad,5000-10000,5,1975-1979,3,Regular,2,Regular,143500,2
Residencial Densidad Media,5000-10000,5,2000-2004,2,Bueno,2,Bueno,207000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,189000,3
Residencial Baja Densidad,5000-10000,5,2000-2004,4,Bueno,2,Bueno,219500,3
Residencial Baja Densidad,5000-10000,3,1910-1914,2,Regular,1,Regular,58500,1
Residencial Densidad Media,5000-10000,7,1950-1954,2,Regular,2,Regular,125000,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,183500,3
Residencial Baja Densidad,5000-10000,8,1965-1969,3,Bueno,1,Bueno,154000,1
Residencial Baja Densidad,5000-10000,3,1910-1914,2,Regular,0,Regular,67000,1
Residencial Baja Densidad,5000-10000,7,1915-1919,3,Malo,1,Malo,116000,2
Residencial Baja Densidad,5000-10000,7,1960-1964,3,Regular,2,Regular,145000,1
Residencial Baja Densidad,5000-10000,5,1965-1969,3,Regular,1,Regular,134000,1
Residencial Densidad Media,5000-10000,5,1915-1919,2,Regular,1,Regular,118400,1
Residencial Baja Densidad,5000-10000,5,1945-1949,2,Bueno,1,Bueno,124000,1
Residencial Baja Densidad,5000-10000,5,1960-1964,3,Regular,1,Regular,62383,1
Residencial Baja Densidad,5000-10000,5,1970-1974,3,Regular,4,Regular,123000,1
Residencial Baja Densidad,5000-10000,7,1980-1984,2,Regular,1,Regular,124500,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,185900,3
Residencial Baja Densidad,5000-10000,5,1950-1954,3,Regular,0,Regular,93000,1
Residencial Baja Densidad,5000-10000,7,1955-1959,3,Regular,1,Regular,106500,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,173000,3
Residencial Baja Densidad,5000-10000,8,1975-1979,3,Regular,1,Regular,149900,2
Residencial Baja Densidad,5000-10000,5,1955-1959,4,Regular,2,Regular,145000,2
Residencial Baja Densidad,5000-10000,9,1960-1964,3,Bueno,2,Bueno,174000,2
Residencial Baja Densidad,5000-10000,6,2000-2004,3,Bueno,2,Bueno,227000,3
Residencial Baja Densidad,5000-10000,5,1915-1919,1,Malo,1,Malo,60000,1
Residencial Baja Densidad,5000-10000,5,1920-1924,4,Regular,2,Regular,136500,2
Residencial Alta Densidad,5000-10000,4,1945-1949,2,Regular,1,Regular,82000,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,213000,2
Residencial Baja Densidad,5000-10000,3,1955-1959,3,Regular,2,Regular,156500,2
Residencial Baja Densidad,5000-10000,8,1935-1939,4,Bueno,1,Bueno,179500,3
Residencial Baja Densidad,5000-10000,6,1955-1959,3,Regular,1,Regular,145000,1
Residencial Baja Densidad,5000-10000,5,1965-1969,3,Regular,1,Regular,129000,1
Residencial Baja Densidad,5000-10000,6,1975-1979,3,Regular,2,Regular,171000,3
Residencial Baja Densidad,5000-10000,5,1965-1969,3,Regular,1,Regular,138500,2
Residencial Baja Densidad,5000-10000,5,1935-1939,2,Regular,1,Regular,140000,1
Residencial Alta Densidad,5000-10000,5,1975-1979,4,Regular,2,Regular,144000,2
Residencial Baja Densidad,5000-10000,5,2005-2009,3,Regular,0,Regular,147000,1
Residencial Baja Densidad,5000-10000,3,1940-1944,4,Regular,1,Regular,98000,2
Residencial Baja Densidad,5000-10000,8,1895-1899,4,Regular,1,Regular,119000,1
Residencial Baja Densidad,5000-10000,3,1905-1909,5,Regular,0,Regular,81000,1
Residencial Baja Densidad,5000-10000,8,1960-1964,3,Regular,1,Regular,154500,1
Residencial Baja Densidad,5000-10000,5,1975-1979,3,Regular,0,Regular,124000,2
Residencial Baja Densidad,5000-10000,7,1970-1974,2,Regular,2,Regular,133000,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,208500,3
Residencial Baja Densidad,5000-10000,8,1960-1964,3,Regular,1,Regular,138500,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,185000,2
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Regular,2,Regular,179000,2
Residencial Baja Densidad,5000-10000,6,1965-1969,3,Regular,1,Regular,142000,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,210000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,163990,3
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Bueno,2,Bueno,201000,3
Comercial,5000-10000,2,1910-1914,2,Malo,0,Malo,85000,1
Residencial Baja Densidad,5000-10000,7,1975-1979,3,Regular,2,Regular,151000,1
Residencial Densidad Media,5000-10000,5,1960-1964,2,Regular,2,Regular,110000,1
Residencial Baja Densidad,5000-10000,7,1955-1959,2,Regular,1,Regular,135750,1
Residencial Baja Densidad,5000-10000,5,1945-1949,2,Regular,1,Regular,118500,1
Residencial Baja Densidad,5000-10000,6,1960-1964,2,Regular,2,Regular,132500,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,190000,2
Residencial Baja Densidad,5000-10000,5,2005-2009,3,Bueno,2,Bueno,156932,3
Residencial Densidad Media,5000-10000,7,1915-1919,3,Malo,0,Malo,115000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,179600,2
Residencial Baja Densidad,5000-10000,3,1960-1964,2,Regular,2,Regular,98600,1
Comercial,5000-10000,4,1915-1919,3,Regular,1,Regular,40000,1
Residencial Densidad Media,5000-10000,7,1915-1919,5,Bueno,1,Bueno,136000,2
Residencial Densidad Media,5000-10000,6,1920-1924,2,Regular,2,Regular,100000,1
Residencial Baja Densidad,5000-10000,4,1950-1954,4,Regular,2,Regular,166000,2
Residencial Densidad Media,5000-10000,8,1925-1929,2,Regular,2,Regular,105900,1
Residencial Baja Densidad,5000-10000,5,1965-1969,3,Regular,1,Regular,125000,1
Residencial Alta Densidad,5000-10000,6,1910-1914,4,Regular,0,Regular,130000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,189000,2
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Regular,2,Regular,168500,3
Residencial Baja Densidad,5000-10000,6,1950-1954,3,Regular,2,Regular,153000,1
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Regular,2,Regular,155000,2
Residencial Baja Densidad,5000-10000,4,1945-1949,2,Regular,2,Regular,93500,2
Residencial Baja Densidad,5000-10000,6,1965-1969,3,Bueno,1,Bueno,149350,2
Residencial Baja Densidad,5000-10000,4,1945-1949,2,Regular,2,Regular,92900,2
Residencial Baja Densidad,5000-10000,4,1945-1949,2,Regular,2,Regular,87500,2
Residencial Densidad Media,5000-10000,5,2000-2004,2,Regular,2,Regular,140000,2
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,3,Bueno,194000,2
Residencial Baja Densidad,5000-10000,6,1955-1959,4,Regular,1,Regular,144500,1
Residencial Baja Densidad,5000-10000,6,1955-1959,3,Regular,1,Regular,109008,1
Residencial Densidad Media,5000-10000,6,1935-1939,3,Regular,1,Regular,119500,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,173500,3
Residencial Densidad Media,5000-10000,5,1945-1949,2,Regular,1,Regular,127000,1
Residencial Pueblo Flotante,5000-10000,5,2005-2009,3,Bueno,2,Bueno,229456,2
Residencial Pueblo Flotante,5000-10000,5,2005-2009,3,Bueno,2,Bueno,252678,3
Residencial Pueblo Flotante,5000-10000,5,2005-2009,3,Bueno,2,Bueno,215200,3
Residencial Pueblo Flotante,5000-10000,5,2005-2009,3,Bueno,2,Bueno,250580,2
Residencial Baja Densidad,5000-10000,5,1960-1964,3,Regular,2,Regular,160000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,3,Bueno,232000,2
Residencial Baja Densidad,5000-10000,6,1960-1964,3,Regular,2,Regular,155000,2
Comercial,5000-10000,7,1895-1899,2,Regular,1,Regular,102776,1
Residencial Baja Densidad,5000-10000,7,1955-1959,2,Regular,1,Regular,153000,1
Comercial,5000-10000,5,1950-1954,2,Malo,2,Malo,55993,1
Residencial Baja Densidad,5000-10000,5,1965-1969,3,Regular,2,Regular,129000,1
Residencial Baja Densidad,5000-10000,7,1910-1914,3,Regular,1,Regular,153575,1
Residencial Baja Densidad,5000-10000,5,1915-1919,3,Regular,2,Regular,144000,1
Residencial Baja Densidad,5000-10000,7,1920-1924,3,Regular,2,Regular,210000,2
Residencial Baja Densidad,5000-10000,5,1995-1999,4,Bueno,2,Bueno,230000,3
Residencial Baja Densidad,5000-10000,6,1980-1984,2,Regular,2,Regular,137000,1
Residencial Baja Densidad,5000-10000,4,1940-1944,3,Regular,1,Regular,113000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,192000,2
Residencial Baja Densidad,5000-10000,5,1995-1999,2,Bueno,2,Bueno,191000,3
Residencial Baja Densidad,5000-10000,5,1990-1994,4,Bueno,2,Bueno,210000,3
Residencial Baja Densidad,5000-10000,6,1965-1969,3,Regular,2,Regular,148500,1
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Bueno,2,Bueno,200500,3
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Bueno,2,Bueno,214000,3
Residencial Baja Densidad,5000-10000,6,1955-1959,3,Regular,1,Regular,148000,1
Residencial Baja Densidad,5000-10000,5,2005-2009,3,Bueno,3,Bueno,239799,3
Residencial Densidad Media,5000-10000,6,1935-1939,2,Regular,1,Regular,106500,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,164990,2
Residencial Baja Densidad,5000-10000,5,2005-2009,1,Excelente,3,Excelente,367294,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,185500,2
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Regular,2,Regular,169000,3
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Regular,1,Regular,126000,1
Residencial Baja Densidad,5000-10000,5,1945-1949,2,Bueno,2,Bueno,108000,2
Residencial Baja Densidad,5000-10000,7,1905-1909,2,Regular,0,Regular,85000,1
Residencial Baja Densidad,5000-10000,7,1895-1899,4,Regular,0,Regular,145900,4
Residencial Baja Densidad,5000-10000,5,1980-1984,3,Regular,0,Regular,112000,1
Residencial Pueblo Flotante,5000-10000,5,2000-2004,3,Bueno,2,Bueno,207500,3
Residencial Baja Densidad,5000-10000,5,1995-1999,4,Bueno,2,Bueno,236000,3
Residencial Baja Densidad,5000-10000,6,1960-1964,3,Regular,1,Regular,160000,1
Residencial Baja Densidad,5000-10000,7,1975-1979,3,Bueno,2,Bueno,150500,2
Residencial Densidad Media,5000-10000,7,1905-1909,3,Regular,0,Regular,96500,1
Residencial Baja Densidad,5000-10000,7,1960-1964,3,Bueno,2,Bueno,137500,1
Residencial Baja Densidad,5000-10000,5,2005-2009,3,Bueno,2,Bueno,220000,3
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,203000,2
Residencial Baja Densidad,5000-10000,7,1970-1974,3,Regular,2,Regular,155000,1
Residencial Baja Densidad,5000-10000,6,1960-1964,3,Regular,2,Regular,139000,1
Residencial Densidad Media,5000-10000,6,1885-1889,2,Regular,2,Regular,124900,1
Residencial Baja Densidad,5000-10000,5,2000-2004,4,Excelente,3,Excelente,350000,3
Residencial Baja Densidad,5000-10000,5,1995-1999,2,Regular,2,Regular,148000,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,173900,3
Residencial Baja Densidad,5000-10000,5,2000-2004,2,Excelente,2,Excelente,266000,2
Residencial Densidad Media,5000-10000,6,1915-1919,3,Regular,1,Regular,144000,1
Residencial Baja Densidad,5000-10000,6,1915-1919,2,Malo,1,Malo,121000,1
Residencial Baja Densidad,5000-10000,8,1960-1964,2,Bueno,2,Bueno,147000,1
Residencial Baja Densidad,5000-10000,5,1950-1954,2,Regular,2,Regular,102000,1
Residencial Baja Densidad,5000-10000,6,1935-1939,2,Regular,1,Regular,100000,1
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Bueno,2,Bueno,205000,3
Residencial Baja Densidad,5000-10000,5,1980-1984,2,Regular,2,Regular,131000,1
Residencial Baja Densidad,5000-10000,7,1950-1954,3,Bueno,2,Bueno,116000,1
Residencial Baja Densidad,5000-10000,5,1955-1959,3,Regular,2,Regular,126500,2
Residencial Baja Densidad,5000-10000,5,2005-2009,3,Bueno,2,Bueno,181134,2
Residencial Alta Densidad,5000-10000,4,1965-1969,2,Regular,1,Regular,107000,1
Residencial Baja Densidad,5000-10000,6,1955-1959,3,Regular,2,Regular,159500,1
Residencial Baja Densidad,5000-10000,7,1950-1954,2,Bueno,1,Bueno,134500,1
Residencial Baja Densidad,5000-10000,5,1995-1999,3,Bueno,2,Bueno,188000,3
Residencial Baja Densidad,5000-10000,5,2005-2009,3,Bueno,3,Bueno,201000,2
Residencial Baja Densidad,5000-10000,3,1955-1959,3,Regular,1,Regular,112000,1
Residencial Densidad Media,5000-10000,5,1975-1979,4,Regular,2,Regular,112000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,195000,3
Residencial Baja Densidad,5000-10000,5,1965-1969,4,Regular,3,Regular,124000,2
Residencial Densidad Media,5000-10000,6,1925-1929,2,Regular,2,Regular,115000,1
Residencial Baja Densidad,5000-10000,9,1975-1979,4,Bueno,2,Bueno,299800,4
Residencial Densidad Media,5000-10000,2,1915-1919,2,Regular,1,Regular,67000,1
Residencial Baja Densidad,5000-10000,7,1955-1959,3,Excelente,2,Excelente,150000,2
Residencial Baja Densidad,5000-10000,5,1965-1969,3,Regular,1,Regular,108000,1
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,204900,2
Residencial Baja Densidad,5000-10000,5,2005-2009,3,Bueno,2,Bueno,176485,2
Residencial Pueblo Flotante,5000-10000,5,2005-2009,3,Bueno,2,Bueno,262500,2
Residencial Baja Densidad,5000-10000,6,1970-1974,3,Regular,2,Regular,120500,1
Comercial,5000-10000,3,1945-1949,1,Regular,1,Regular,35311,0
Residencial Baja Densidad,5000-10000,5,1955-1959,2,Regular,1,Regular,139000,1
Residencial Baja Densidad,5000-10000,3,1955-1959,3,Regular,0,Regular,80000,1
Residencial Pueblo Flotante,5000-10000,5,2005-2009,3,Bueno,3,Bueno,270000,3
Residencial Pueblo Flotante,5000-10000,5,2005-2009,3,Bueno,2,Bueno,210000,3
Residencial Densidad Media,5000-10000,9,1915-1919,3,Regular,2,Regular,143000,1
Residencial Baja Densidad,5000-10000,5,1950-1954,2,Regular,1,Regular,118000,1
Residencial Alta Densidad,5000-10000,3,1925-1929,2,Regular,2,Regular,76000,1
Residencial Baja Densidad,5000-10000,5,1970-1974,4,Regular,0,Regular,136000,4
Residencial Pueblo Flotante,5000-10000,5,2005-2009,4,Excelente,2,Excelente,303477,3
Residencial Densidad Media,5000-10000,6,1935-1939,3,Bueno,1,Bueno,141000,2
